GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000115216.9	NRBP1	8.3114130158948e-06	8
ENSG00000115234.6	SNX17	9.42571522262122e-06	2
ENSG00000115241.9	PPM1G	2.35063473618665e-05	1
ENSG00000151532.9	VTI1A	8.24893269833077e-06	1
ENSG00000196865.4	NHLRC2	2.00432416337811e-06	1
ENSG00000198522.9	GPN1	1.74787871205539e-05	1
